Date and time,Event String,Event Data String
7/15/2024 4:09:38 PM,Boiler Ready,0
7/15/2024 4:09:50 PM,Start Pre-Purge,10.00
7/15/2024 4:10:01 PM,Pre-Purge Complete,10.093482
7/15/2024 4:10:40 PM,Pilot On,TRUE
7/15/2024 4:10:43 PM,Pilot Proved,30.252101
7/15/2024 4:10:43 PM,Pilot Proved,32.773109
7/15/2024 4:10:43 PM,Pilot Proved,38.655462
7/15/2024 4:10:43 PM,Pilot Proved,41.176471
7/15/2024 4:10:43 PM,Pilot Proved,42.857143
7/15/2024 4:10:43 PM,Pilot Proved,45.378151
7/15/2024 4:10:43 PM,Pilot Proved,47.058824
7/15/2024 4:10:43 PM,Pilot Proved,47.899160
7/15/2024 4:10:43 PM,Pilot Proved,48.739496
7/15/2024 4:10:46 PM,Force Draft Fan ON,TRUE
7/15/2024 4:10:47 PM,Boiler Running,12.477995
7/15/2024 4:11:05 PM,Start Shutdown Purge,10.000000
7/15/2024 4:11:24 PM,Shutdown Purge Complete,
7/15/2024 4:11:27 PM,Boiler Initialized,0
7/15/2024 4:12:20 PM,Boiler Initialized,0
7/15/2024 4:12:24 PM,Boiler Ready,0
7/15/2024 4:12:39 PM,Start Pre-Purge,10.00
7/15/2024 4:12:49 PM,Pre-Purge Complete,10.067687
7/15/2024 4:12:50 PM,Pilot On,TRUE
7/15/2024 4:12:53 PM,Pilot Proved,32.773109
7/15/2024 4:12:53 PM,Pilot Proved,37.815126
7/15/2024 4:12:53 PM,Pilot Proved,41.176471
7/15/2024 4:12:53 PM,Pilot Proved,46.218487
7/15/2024 4:12:53 PM,Pilot Proved,47.899160
7/15/2024 4:12:53 PM,Pilot Proved,50.420168
7/15/2024 4:12:53 PM,Pilot Proved,52.941176
7/15/2024 4:12:53 PM,Pilot Proved,53.781513
7/15/2024 4:12:53 PM,Pilot Proved,54.621849
7/15/2024 4:12:53 PM,Pilot Proved,55.462185
7/15/2024 4:12:53 PM,Pilot Proved,56.302521
7/15/2024 4:12:53 PM,Pilot Proved,57.142857
7/15/2024 4:12:56 PM,Force Draft Fan ON,TRUE
7/15/2024 4:12:58 PM,Boiler Running,12.772027
7/15/2024 4:13:50 PM,Boiler Initialized,0
7/15/2024 4:13:58 PM,Boiler Ready,0
7/15/2024 4:13:59 PM,Start Pre-Purge,10.00
7/15/2024 4:14:09 PM,Pre-Purge Complete,10.079171
7/15/2024 4:14:11 PM,Pilot On,TRUE
7/15/2024 4:14:23 PM,Pilot Proved,31.092437
7/15/2024 4:14:23 PM,Pilot Proved,33.613445
7/15/2024 4:14:23 PM,Pilot Proved,36.134454
7/15/2024 4:14:23 PM,Pilot Proved,38.655462
7/15/2024 4:14:23 PM,Pilot Proved,39.495798
7/15/2024 4:14:23 PM,Pilot Proved,41.176471
7/15/2024 4:14:23 PM,Pilot Proved,42.016807
7/15/2024 4:14:23 PM,Pilot Proved,42.857143
7/15/2024 4:14:23 PM,Pilot Proved,43.697479
7/15/2024 4:14:23 PM,Pilot Proved,44.537815
7/15/2024 4:14:23 PM,Pilot Proved,46.218487
7/15/2024 4:14:23 PM,Pilot Proved,47.058824
7/15/2024 4:14:23 PM,Pilot Proved,47.899160
7/15/2024 4:14:23 PM,Pilot Proved,48.739496
7/15/2024 4:14:23 PM,Pilot Proved,49.579832
7/15/2024 4:14:23 PM,Pilot Proved,50.420168
7/15/2024 4:14:23 PM,Pilot Proved,51.260504
7/15/2024 4:14:23 PM,Pilot Proved,52.941176
7/15/2024 4:14:23 PM,Pilot Proved,53.781513
7/15/2024 4:14:23 PM,Pilot Proved,57.142857
7/15/2024 4:14:23 PM,Pilot Proved,57.983193
7/15/2024 4:14:23 PM,Pilot Proved,58.823529
7/15/2024 4:14:25 PM,Force Draft Fan ON,TRUE
7/15/2024 4:14:35 PM,Boiler Running,11.122581
7/15/2024 4:15:13 PM,Boiler Initialized,0
7/15/2024 4:15:16 PM,Boiler Ready,0
7/15/2024 4:15:20 PM,Start Pre-Purge,10.00
7/15/2024 4:15:31 PM,Pre-Purge Complete,10.098723
7/15/2024 4:15:53 PM,Pilot On,TRUE
7/15/2024 4:15:55 PM,Pilot Proved,31.092437
7/15/2024 4:15:55 PM,Pilot Proved,33.613445
7/15/2024 4:15:55 PM,Pilot Proved,35.294118
7/15/2024 4:15:55 PM,Pilot Proved,37.815126
7/15/2024 4:15:55 PM,Pilot Proved,43.697479
7/15/2024 4:15:55 PM,Pilot Proved,47.058824
7/15/2024 4:15:55 PM,Pilot Proved,47.899160
7/15/2024 4:15:55 PM,Pilot Proved,48.739496
